Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult Arrest,2022,1/5/22,0,68932fbe3b3da516cc3b0f56eca79ca8a34369b8,8e3d909035ed97dc5cc698b09b105a0bea0ec9e8,57,507,5D,BLACK,UNKNOWN,MALE,Traffic Violations,Permit Suspended-oas,105,1D,399500,133400,38.869,-77.006,105,1D,399500,133500,38.869,-77.006
Adult Arrest,2022,1/5/22,1,fde6ef803108ac0f44ef4a61d66ecabf2b33faa2,aecd6d93daca6ec85dc1cbd328e79911f6983f8e,29,501,5D,BLACK,NOT HISPANIC,FEMALE,Assault on a Police Officer,Assault On A Police Officer (simple Assault),708,7D,399100,128300,38.822,-77.01,708,7D,399100,128300,38.822,-77.01
Adult Arrest,2022,1/5/22,1,8f6bc0b0f1ff32918f0b454dbe5964bef4f68edc,85392996ec671fe7da1f55534d46ce0a68952a0a,54,608,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,604,6D,406600,135100,38.883,-76.923,604,6D,406600,135100,38.883,-76.923
Adult Arrest,2022,1/5/22,1,3ffd41a39090d4fcdce44e536819b9fc0b3ca75a,56ba6d978e027bbc5a5e5e3fc8ee0253a04a22ed,25,308,3D,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive (Warr),Bench Warrant,103,1D,398600,134900,38.882,-77.016,103,1D,398600,134900,38.882,-77.016
Adult Arrest,2022,1/5/22,2,1bd7c698c0a938ceb3fd8f376b059e476489b8ec,4f0d671b078964a09c9cd52ead7b8d16975a6bd2,33,202,2D,BLACK,NOT HISPANIC,MALE,Other Crimes,Unlawful Entry,307,3D,397900,137300,38.904,-77.025,307,3D,397900,137300,38.904,-77.025
Adult Arrest,2022,1/5/22,3,b9adbd0d41268a4092070b8da3ef9c134561d1f8,046b13ceaf4d8956eefca5bec036a69f87dbd17d,35,702,7D,BLACK,NOT HISPANIC,FEMALE,Theft,Theft Second Degree (all Other Larceny),702,7D,403000,131900,38.855,-76.966,702,7D,403000,131900,38.855,-76.966
Adult Arrest,2022,1/5/22,4,fedbddaae0d8e8fbd7e74d3ee65f6c5c03e2f420,d0b364459055516513bd8bf7287b77ebd256c504,30,704,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Threats To Do Bodily Harm -misd,208,2D,NA,NA,NA,NA,208,2D,396000,138500,38.914,-77.046
Adult Arrest,2022,1/5/22,7,025db7fcff9eadbbc9c5865924fc8ba69f62a3cd,37042cd8bff4a52eca086e83c2571f194da0e2d6,51,704,7D,WHITE,NOT HISPANIC,MALE,Theft,Theft Second Degree (theft From Building),307,3D,398100,137900,38.909,-77.022,307,3D,398100,137900,38.909,-77.022
Adult Arrest,2022,1/5/22,8,fb0c081206aa9875e365c1917bd08d0af2b31cf8,8112330f1b10f7c5fc75a56aa08aa88d5eafd0ad,22,701,7D,BLACK,UNKNOWN,FEMALE,Simple Assault,Simple Assault,702,7D,402600,131700,38.853,-76.97,203,2D,394400,142000,38.946,-77.064
Adult Arrest,2022,1/5/22,10,796f699c5a01710002ceaa9b314fd4800e32ab40,39bf3923c7c22a0f4eabac8eef7b97d8c7978df8,43,101,1D,BLACK,NOT HISPANIC,MALE,Theft,Theft Second Degree (theft From Building),207,2D,397200,137500,38.905,-77.033,207,2D,397200,137500,38.905,-77.033
Adult Arrest,2022,1/5/22,12,6f1790099b7982c975d6182e878869da4982d4fd,5ad6a262733df1ad0ac2c3c0985d7eaada6c2efd,28,701,7D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Threats To Do Bodily Harm -misd,NA,,1225200,405200,40.916,-67.192,701,7D,402000,132900,38.864,-76.977
